,country_name,year,internet_user,GDP_growth,Mobile_subscriptions,population_density,population_total,school_enrollment,time_tostart_business,electricity_consumption
121,Australia,2011,79.48769771,2.321478902,104.610551,2.90798641,22340024,104.4172,2.5,10712.16396
122,Brazil,2011,45.69,3.916382188,119.0023853,23.56207649,196935134,,122,2437.955027
123,China,2011,38.3,9.484506202,72.0713209,143.1721123,1344130000,127.94968,38,3298.024001
124,France,2011,77.81999899,2.079228327,94.0767743,119.3266619,65338149,108.00545,6.5,7216.580317
125,Germany,2011,81.26999954,3.589997242,109.6595675,234.6731495,81797673,100.76088,14.5,7145.72895
126,India,2011,10.07,6.63834773,73.19803895,410.7225973,1221156319,112.59532,27,713.4696733
127,Indonesia,2011,12.28,6.169784208,102.4626496,134.5803027,243801639,109.09822,48,683.9330559
128,Italy,2011,54.3899983,0.586820837,158.145883,201.8747841,59379449,99.98448,6,5514.837297
129,Japan,2011,79.05411352,-0.45272483,104.2742326,350.6117787,127817277,102.62887,11,7841.303019
130,"Korea, Rep.",2011,83.75912015,3.681704667,107.7446102,511.9761391,49779440,103.83818,7,10161.94638
131,Mexico,2011,37.17629541,4.044614776,79.24118294,61.40139047,119361233,104.18884,6,2091.692535
132,Netherlands,2011,91.41999576,1.663619434,118.9791426,495.0496441,16693074,107.63812,8,7035.672399
133,Russian Federation,2011,49,4.264176565,142.0484328,8.729437799,142960868,100.33724,29,6485.760845
134,Saudi Arabia,2011,47.5,9.95898847,194.5123877,12.91429369,27761728,100.67835,20,8161.199476
135,Spain,2011,67.6,-0.617622686,113.0635394,93.71029872,46742697,104.35643,29,5599.377374
136,Switzerland,2011,85.19302818,1.804553114,127.383212,200.2327665,7912398,102.86889,18,7928.317054
137,Turkey,2011,43.06571043,8.772747615,89.41002295,94.92696231,73058638,102.11647,6,2709.262114
138,United Kingdom,2011,85.37999855,1.645120728,123.6041988,261.4761212,63258918,106.88492,11.5,5472.603879
139,United States,2011,69.72946076,1.601454273,94.44042596,34.07754667,311721632,98.78023,5,13240.35799
140,Argentina,2012,55.8,0.801760179,156.564756,15.01336542,41086927,123.74646,25,3027.118577
141,Australia,2012,79,3.727818428,105.585695,2.958522057,22728254,104.8384,2.5,10398.20305
142,Brazil,2012,48.56,1.762488805,125.0018521,23.76796979,198656019,,122,2508.642842
143,China,2012,42.30011749,7.750297593,80.76271455,143.8713936,1350695000,127.85205,33,3475.008792
144,France,2012,81.44,0.182689429,97.37775287,119.8680731,65635082,107.32342,6.5,7344.425958
145,Germany,2012,82.34999847,0.376483651,111.5940398,230.7506255,80425823,100.46041,14.5,7270.152523
146,India,2012,12.58006091,5.081417925,69.92238977,415.9460822,1236686732,114.05991,25,759.9208237
147,Indonesia,2012,14.52,6.030050653,114.218131,136.270854,246864191,106.52625,48,733.3505895
148,Italy,2012,55.82999799,-2.770415892,159.6276155,202.4196539,59539717,99.00793,6,5397.741477
149,Japan,2012,79.4964,1.753689775,110.9073543,349.9053352,127561489,102.30144,11,7752.488684
150,"Korea, Rep.",2012,84.07,2.292382426,109.4316142,513.656302,50004441,,4,10345.6011
151,Mexico,2012,39.75,4.007370613,83.35070827,62.16593894,120847477,105.02204,6,2032.082143
152,Netherlands,2012,92.85999236,-1.585708514,117.9668468,496.8849941,16754962,105.79075,5,6871.098842
153,Russian Federation,2012,63.8,3.405546804,145.3276296,8.744141951,143201676,100.55615,18,6617.136241
